# RouteFlow GPS - Mapa exportado
# Formato CIUDAD: CIUDAD|id|nombre|lat|lon|esBodega
# Formato RUTA:   RUTA|id1|id2|bidi|factorTrafico|tipoCamino

CIUDAD|GT001|Antigua Guatemala Centro|14.556782865046507|-90.7337575532079|true
CIUDAD|GT002|Ciudad Vieja|14.524903468009484|-90.75975952409775|false
CIUDAD|GT003|San Miguel Dueñas|14.520652202982053|-90.79806452954844|false
CIUDAD|GT004|Alotenango|14.484372588658573|-90.80417013050311|false
CIUDAD|GT005|San Antonio Aguas Calientes|14.547422502063961|-90.78154341208824|false
CIUDAD|GT006|Santa Catarina Barahona|14.555194045830739|-90.79050578530514|false
CIUDAD|GT007|Jocotenango|14.578527725984683|-90.7421019290275|false
CIUDAD|GT008|San Felipe de Jesús|14.573294299552687|-90.73442636982426|false
CIUDAD|GT009|Santiago Sacatepéquez|14.637242125213072|-90.6795481282188|false
CIUDAD|GT010|San Lucas Sacatepéquez|14.608463495312462|-90.65917459438938|false
CIUDAD|GT011|Pastores|14.594142974494996|-90.75378641778032|false
CIUDAD|GT012|Sumpango|14.64689930898246|-90.736572858234|false
CIUDAD|GT013|Santa Lucía Milpas Altas|14.578803508767693|-90.67029452357272|false
CIUDAD|GT014|San Bartolomé Milpas Altas|14.604753203324831|-90.68086836652981|false
CIUDAD|GT015|Magdalena Milpas Altas|14.547900976388853|-90.67532400730717|false
CIUDAD|GT016|Santa María de Jesús|14.493891611702805|-90.70987810048884|false
CIUDAD|GT017|San Juan del Obispo|14.523527704991462|-90.72843035388534|false
CIUDAD|GT018|Parramos|14.609467425323974|-90.8023232421868|false
CIUDAD|GT019|El Tejar|14.642318429433212|-90.78013752114413|false
CIUDAD|GT020|Chimaltenango|14.659291891481105|-90.82395790722468|false
CIUDAD|GT021|San Andrés Itzapa|14.62147075662772|-90.8420202118441|false
CIUDAD|GT022|Zaragoza|14.65036242458293|-90.89037291018796|false
CIUDAD|GT023|San Bartolome Becerra|14.549230278471857|-90.75012528091598|false
CIUDAD|GT024|San Pedro Las Huertas|14.530321928074848|-90.74024380381435|false
CIUDAD|GT025|San Lorenzo El Tejar|14.614745623352857|-90.77092214120174|false
CIUDAD|GT026|San Gaspar Vivar|14.534832405106535|-90.73010633136133|false
CIUDAD|GT027|San Lorenzo El Cubo|14.536435041548527|-90.77074666953132|false
CIUDAD|GT028|Interseccion RN10 Y RN14|14.521281202159456|-90.77268103770497|false
CIUDAD|GT029|San Pedro El Panorama|14.543104915537736|-90.74632366618633|false
CIUDAD|GT030|El Hato|14.583301588464632|-90.71174860107111|false

RUTA|GT001|GT029|true|1.20|URBANO
RUTA|GT001|GT030|true|1.20|URBANO
RUTA|GT014|GT030|true|3.40|URBANO
RUTA|GT028|GT004|true|3.00|CARRETERA
RUTA|GT028|GT002|true|3.00|CARRETERA
RUTA|GT004|GT003|true|1.00|CARRETERA
RUTA|GT003|GT028|true|1.00|CARRETERA
RUTA|GT005|GT003|true|3.00|CARRETERA
RUTA|GT002|GT024|true|1.00|CARRETERA
RUTA|GT019|GT025|true|2.97|CARRETERA
RUTA|GT019|GT012|true|1.00|CARRETERA
RUTA|GT019|GT020|true|1.00|CARRETERA
RUTA|GT018|GT011|true|1.00|CARRETERA
RUTA|GT018|GT021|true|1.00|CARRETERA
RUTA|GT017|GT016|true|1.20|MONTAÑA
RUTA|GT017|GT024|true|1.50|MONTAÑA
RUTA|GT015|GT001|true|1.00|CARRETERA
RUTA|GT015|GT013|true|1.00|CARRETERA
RUTA|GT014|GT013|true|1.00|CARRETERA
RUTA|GT014|GT009|true|1.00|CARRETERA
RUTA|GT013|GT010|true|1.00|CARRETERA
RUTA|GT012|GT009|true|1.00|CARRETERA
RUTA|GT011|GT007|true|1.00|CARRETERA
RUTA|GT010|GT009|true|1.00|CARRETERA
RUTA|GT013|GT001|true|1.00|CARRETERA
RUTA|GT001|GT008|true|1.00|CARRETERA
RUTA|GT011|GT025|true|1.00|CARRETERA
RUTA|GT008|GT007|true|1.00|CARRETERA
RUTA|GT007|GT001|true|1.20|URBANO
RUTA|GT002|GT029|true|1.00|CARRETERA
RUTA|GT006|GT005|true|1.00|CARRETERA
RUTA|GT001|GT023|true|1.00|CARRETERA
RUTA|GT020|GT022|true|1.00|CARRETERA
RUTA|GT021|GT022|true|1.00|CARRETERA
RUTA|GT021|GT020|true|3.00|CARRETERA
RUTA|GT026|GT001|true|1.20|URBANO
RUTA|GT017|GT026|true|1.30|URBANO
RUTA|GT024|GT026|true|1.00|CARRETERA
RUTA|GT027|GT002|true|1.00|CARRETERA
RUTA|GT027|GT005|true|1.00|CARRETERA
RUTA|GT027|GT023|true|1.00|CARRETERA
RUTA|GT027|GT028|true|1.00|CARRETERA
RUTA|GT029|GT023|true|1.30|URBANO
